grupo, algorithm, domain, instance, cost, generated, time, gen_per_sec
X, id_dfs, pancake16, "11 12 13 14 15 10 9 8 0 1 5 4 6 7 3 2", 6, 41377731, 1.12917, 3.66445e+07
X, id_dfs, pancake16, "1 2 3 4 5 6 7 8 9 0 10 11 12 13 14 15", 2, 1827, 0.000262, 6.97328e+06
X, id_dfs, pancake16, "2 3 4 5 6 7 8 12 11 10 9 1 0 13 14 15", 3, 30579, 0.002285, 1.33825e+07
X, id_dfs, pancake16, "6 5 4 3 2 7 8 9 10 11 12 13 1 0 14 15", 3, 14341, 0.001106, 1.29665e+07
X, id_dfs, pancake16, "0 1 2 3 4 5 6 11 12 8 9 10 7 13 14 15", 6, 53795009, 1.41043, 3.8141e+07
X, id_dfs, pancake16, "7 5 4 3 2 1 0 8 9 6 10 11 12 13 14 15", 4, 358096, 0.030713, 1.16594e+07
X, id_dfs, pancake16, "7 8 6 5 4 3 2 1 0 10 11 9 12 13 14 15", 4, 73398, 0.003493, 2.10129e+07
X, id_dfs, pancake16, "15 5 11 2 12 7 6 13 8 4 3 14 9 10 0 1", na, na, na, na
X, id_dfs, pancake16, "4 5 6 7 8 0 1 9 10 3 2 11 12 13 14 15", 5, 5069680, 0.195665, 2.591e+07
X, id_dfs, pancake16, "14 13 12 0 1 2 3 4 6 5 7 8 9 10 11 15", 5, 5325233, 0.203791, 2.61309e+07
X, id_dfs, pancake16, "4 5 6 7 8 9 10 11 12 3 2 1 0 13 14 15", 2, 1872, 7.6e-05, 2.46316e+07
X, id_dfs, pancake16, "6 0 11 5 9 14 10 3 12 15 7 8 2 13 4 1", na, na, na, na
X, id_dfs, pancake16, "15 14 13 0 1 2 3 4 12 11 10 9 8 7 6 5", 3, 46198, 0.00473, 9.76702e+06
X, id_dfs, pancake16, "10 6 9 3 4 5 15 0 1 2 8 13 12 7 11 14", na, na, na, na
X, id_dfs, pancake16, "8 7 3 6 5 4 2 1 15 0 9 10 11 12 13 14", 8, 1860177040, 47.7808, 3.89315e+07
X, id_dfs, pancake16, "1 15 14 13 12 11 10 9 0 2 3 4 8 6 7 5", 8, 3899087624, 322.006, 1.21087e+07
X, id_dfs, pancake16, "7 9 8 1 2 3 4 5 6 10 0 11 12 13 14 15", 6, 17726607, 0.455321, 3.89321e+07
X, id_dfs, pancake16, "12 6 9 1 8 7 5 13 4 2 3 14 10 15 11 0", na, na, na, na
X, id_dfs, pancake16, "5 4 0 1 2 3 6 7 8 9 10 11 12 13 14 15", 2, 1119, 5.6e-05, 1.99821e+07
X, id_dfs, pancake16, "2 3 4 5 6 7 8 9 10 0 1 11 12 13 14 15", 3, 25785, 0.000732, 3.52254e+07
X, id_dfs, pancake16, "7 9 0 4 1 15 2 3 13 6 14 5 10 11 12 8", na, na, na, na
